cik,ticker,name,is_known_case,fiscal_year,f_roa,f_cfo,f_droa,f_accrual,f_dleverage,f_dliquidity,f_neqissue,f_dmargin,f_dturnover,fscore,fscore_available,fscore_missing_inputs,DSRI,GMI,AQI,SGI,DEPI,SGAI,TATA,LVGI,mscore,mscore_flag,mscore_available,mscore_missing_inputs,accruals,asset_growth,filing_date,source_form
18230,CAT,Caterpillar,False,2016,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,9,,1.089794991159384,1.0634715797674792,1.0292243932098557,0.8197443151602817,0.963033088762145,1.0995223286510827,-0.07585939173270508,0.9977764036438203,-2.888445043265581,False,8,,-0.07585939173270508,-0.04832031797393531,2017-02-15,10-K
18230,CAT,Caterpillar,False,2017,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,7.0,9,,1.0538891758852367,0.837157104781857,0.9404947671710652,1.1796974336352077,0.9785055966069592,0.9364945322676002,-0.06422650139029651,1.00690942632262,-2.6744771084739667,False,8,,-0.06422650139029651,0.030225958449346755,2018-02-15,10-K
18230,CAT,Caterpillar,False,2018,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,8.0,9,,0.983396275239241,0.9787720676714521,0.9717703044096515,1.2036865953983547,0.9978702842371995,0.8790841278780157,-0.005222331197697079,1.0274007003447105,-2.3490428329670254,False,8,,-0.005222331197697079,0.020100828980535848,2019-02-14,10-K
18230,CAT,Caterpillar,False,2019,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,9,,0.9900970799978713,1.014930403662398,1.001625892310355,0.9831512006140126,1.0169151457032815,0.9584636755877854,-0.010426624858195352,0.9947717241390995,-2.5335867437773323,False,8,,-0.010426624858195352,-0.0007132940172464304,2020-02-19,10-K
18230,CAT,Caterpillar,False,2020,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,9,,1.100525723367818,1.0519236289290124,1.0055614698234585,0.7759851301115241,1.0152683180826072,1.1588673755787247,-0.04243909912670446,0.9791912687162159,-2.775012510263026,False,8,,-0.04243909912670446,-0.0016442965852166264,2021-02-17,10-K
18230,CAT,Caterpillar,False,2021,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,7.0,9,,0.9489026266927831,1.000399946952662,0.9742321190644737,1.2209207626712657,1.0067568590167815,0.9466231277602318,-0.008515212638749653,1.0221925464829975,-2.377289096871297,False,8,,-0.008515212638749653,0.0570578622133701,2022-02-16,10-K
18230,CAT,Caterpillar,False,2022,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,7.0,9,,0.896055215713985,0.9969826430964039,0.9689169174849062,1.1658982558709854,1.0456253382943281,0.9034308745129845,-0.01296022845148457,1.0350537949232324,-2.49204538346419,False,8,,-0.01296022845148457,-0.010266568429698163,2023-02-15,10-K
18230,CAT,Caterpillar,False,2023,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,8.0,9,,0.931606115382657,0.839701541078321,0.9983020178935919,1.1284433001834182,1.0768978334270949,0.9990852686192694,-0.029185147926288353,0.968739684229913,-2.631009120414665,False,8,,-0.029185147926288353,0.0675225461601357,2024-02-16,10-K
18230,CAT,Caterpillar,False,2024,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,6.0,9,,1.031620851879734,0.3624422311198313,1.0280012655570474,0.9664330450342976,1.0421713549211193,1.0828070600725086,-0.01420855931817146,1.0038402951342482,-2.8832992648588993,False,8,,-0.01420855931817146,0.003292331610956148,2025-02-14,10-K
18230,CAT,Caterpillar,False,2025,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,6.0,9,,1.1280812314569113,1.0002159380494908,0.959636952781231,1.0428952768905553,1.0676448425067027,1.004604813479458,-0.028980067961657453,1.004176059696477,-2.4700715164030567,False,8,,-0.028980067961657453,0.12329656806891208,2026-02-13,10-K
865941,CLDN,Celadon Group,True,2012,,1.0,,,,,,,,,1,long_term_debt,,,,,,,-0.099014616553136,,,,1,"sga,long_term_debt",-0.099014616553136,,2012-09-07,10-K
865941,CLDN,Celadon Group,True,2013,1.0,1.0,,1.0,,1.0,0.0,1.0,,,6,,1.1205211735484706,0.9998577562056747,0.9024706855840829,1.0245361898783207,1.2194073148938924,,-0.09271447777628743,,,,6,sga,-0.09271447777628743,0.2313202525009074,2013-09-13,10-K
865941,CLDN,Celadon Group,True,2014,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,1.0,,8,gross_margin,1.1032754282840156,,1.0625612610938036,1.2373722394597555,0.8825328962821093,,-0.057375708402394275,1.3428356689068501,,,6,"sga,gross_margin",-0.057375708402394275,0.07744220649383463,2014-09-15,10-K
865941,CLDN,Celadon Group,True,2015,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.0,,8,gross_margin,1.0412401205330537,,1.3160671293337334,1.1862807202845738,1.2047630275664305,,-0.006249952155714649,0.8312709697278572,,,6,"sga,gross_margin",-0.006249952155714649,0.7018869017030609,2015-09-10,10-K
865941,CLDN,Celadon Group,True,2016,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,8,gross_margin,0.869268637208382,,3.258417197921256,1.1827353911603142,0.7850121508817348,,0.027241251166964263,1.0970184971861703,,,6,"sga,gross_margin",0.027241251166964263,-0.061580060713334904,2016-09-13,10-K
909832,COST,Costco,False,2010,,1.0,,,,,,,,,1,,,,,,,,-0.06201973546084401,,,,1,,-0.06201973546084401,,2010-10-18,10-K
909832,COST,Costco,False,2011,1.0,1.0,,1.0,,0.0,1.0,0.0,,,6,,0.9569601401307823,1.0156908330126901,0.6991383208884693,1.14072563056475,1.0202806959590736,0.9707837971830469,-0.06487052053361235,0.9700533949403738,-2.793711925948746,False,8,,-0.06487052053361235,0.1237035481839177,2011-10-14,10-K
909832,COST,Costco,False,2012,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,9,,0.9535847733818502,1.0119242033315374,1.0335170112525176,1.1149637294044874,0.9828754315519557,0.9832527715799885,-0.0496683861459101,1.0110883643856465,-2.635430585968929,False,8,,-0.0496683861459101,0.014162400508202234,2012-10-19,10-K
909832,COST,Costco,False,2013,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,7.0,9,,1.1035635851370769,0.9889182103088112,0.7713190915366567,1.0607139614876384,1.026131102614208,1.0008047360105001,-0.046164514744245946,1.1993517554558146,-2.707128046318604,False,8,,-0.046164514744245946,0.1158069270449521,2013-10-16,10-K
909832,COST,Costco,False,2014,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,6.0,9,,0.8923604146166073,0.9976039573876391,0.9887933330919496,1.071170451519647,0.983327699847342,1.0070121974364337,-0.05832122093023256,0.9797907573241058,-2.790736962581538,False,8,,-0.05832122093023256,0.09051282897995575,2014-10-15,10-K
909832,COST,Costco,False,2015,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,6.0,9,,1.033545929692343,0.9667039656436592,1.2059311194277271,1.0315962357954545,0.9515595314140646,1.0179334730743375,-0.057057416267942584,1.0837082872873964,-2.6583375081616953,False,8,,-0.057057416267942584,0.012596899224806201,2015-10-14,10-K
909832,COST,Costco,False,2016,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,7.0,9,,1.0011636474264736,0.9775072735771146,1.229100161283623,1.0216869336224925,0.99417653683427,1.03205220314008,-0.028405150318125624,0.9250613561856872,-2.493489832984464,False,8,,-0.028405150318125624,-0.008283492822966507,2016-10-12,10-K
909832,COST,Costco,False,2017,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,7.0,9,,1.0524102060613114,1.002809371813146,0.8790194379782393,1.086810030407938,0.9777864518718091,0.9873720492485358,-0.1113434396236278,1.1183357784638297,-2.9617951661012794,False,8,,-0.1113434396236278,0.09601061423876006,2017-10-18,10-K
909832,COST,Costco,False,2018,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,7.0,9,,1.062178603047324,1.0209833748437103,0.880983685195036,1.097275721759349,1.0308419992313131,0.9765146264129143,-0.06465833945628215,0.9769378130646326,-2.660437831670347,False,8,,-0.06465833945628215,0.12333892755935841,2018-10-26,10-K
909832,COST,Costco,False,2020,,1.0,,,,,,,,,1,,,,,,,,-0.08746130030959752,,,,1,,-0.08746130030959752,,2020-10-07,10-K
